DOI,publication_date,total_size_kb,num_files,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab
10.7910/DVN/UPSRNO,2015-06-16,826.17,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/9OOLQ7,2015-06-09,4621.95,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/9TPNOT,2015-06-09,393.09,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/RIOEAY,2015-06-04,210295.09,20,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ALZVAW,2015-05-29,80129.84,24,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UJN9C3,2015-05-29,119825.87,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10.7910/DVN/KAQVNP,2015-05-28,595.78,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/IYZWUD,2015-05-22,4664.82,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29911,2015-04-06,826713.75,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/MIXK94,2015-05-14,1608.63,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/UMIBSL,2015-05-14,832.39,10,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/193ZDD,2015-05-13,610.4,21,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/MJSMJB,2015-05-12,431.83,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/MWNBXO,2015-05-12,413.73,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WCH6ZH,2015-04-21,139.6,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/CJMKGX,2015-05-11,1483.32,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/5HEB4I,2015-05-07,234.34,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
